i: 0  j: 0  e: 1
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 6  e: 5
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 1  e: 9
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 5  e: 8
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 6  e: 5
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 1  e: 2
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 8
i: 0  j: 2  e: 5
i: 0  j: 3  e: 2
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 2  e: 9
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 2
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 8
i: 0  j: 2  e: 9
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 8
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 9
i: 0  j: 2  e: 5
i: 0  j: 3  e: 2
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 2  e: 9
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 2
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 8
i: 0  j: 2  e: 5
i: 0  j: 3  e: 2
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 2  e: 9
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 2
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 8
i: 0  j: 2  e: 9
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 8
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 9
i: 0  j: 2  e: 5
i: 0  j: 3  e: 2
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 2  e: 9
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 2
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 8
i: 0  j: 2  e: 9
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 8
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 9
i: 0  j: 2  e: 5
i: 0  j: 3  e: 2
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 2  e: 9
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 9
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 8
i: 0  j: 2  e: 5
i: 0  j: 3  e: 2
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 2
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 8
i: 0  j: 2  e: 5
i: 0  j: 3  e: 2
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 2  e: 9
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 9
i: 0  j: 2  e: 5
i: 0  j: 3  e: 2
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 2
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 8
i: 0  j: 2  e: 9
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 8
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 9
i: 0  j: 2  e: 5
i: 0  j: 3  e: 2
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 2  e: 9
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 9
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 8
i: 0  j: 2  e: 5
i: 0  j: 3  e: 2
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 2
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 8
i: 0  j: 2  e: 5
i: 0  j: 3  e: 2
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 2  e: 9
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 9
i: 0  j: 2  e: 5
i: 0  j: 3  e: 2
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 2
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 5  e: 8
i: 0  j: 1  e: 8
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 6  e: 5
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 1  e: 2
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 8
i: 0  j: 2  e: 9
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 5  e: 8
i: 0  j: 1  e: 8
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 9
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 6  e: 5
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 1  e: 2
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 5  e: 8
i: 0  j: 6  e: 7
i: 0  j: 1  e: 8
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 6  e: 7
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 6  e: 5
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 1  e: 2
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 8
i: 0  j: 2  e: 9
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 5  e: 8
i: 0  j: 6  e: 7
i: 0  j: 1  e: 8
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 9
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 6  e: 7
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 6  e: 5
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 1  e: 2
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 8
i: 0  j: 2  e: 9
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 6  e: 7
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 5  e: 8
i: 0  j: 6  e: 7
i: 0  j: 1  e: 8
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 9
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 6  e: 7
i: 0  j: 6  e: 7
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 6  e: 5
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 1  e: 9
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 8
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 5  e: 8
i: 0  j: 6  e: 7
i: 0  j: 6  e: 7
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 6  e: 5
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 1  e: 2
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 6  e: 7
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 5  e: 8
i: 0  j: 6  e: 7
i: 0  j: 1  e: 8
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 6  e: 7
i: 0  j: 6  e: 7
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 6  e: 5
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 1  e: 9
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 5  e: 8
i: 0  j: 6  e: 7
i: 0  j: 6  e: 7
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 6  e: 5
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 1  e: 2
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 8
i: 0  j: 2  e: 9
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 5  e: 8
i: 0  j: 1  e: 8
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 9
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 6  e: 5
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 1  e: 9
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 8
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 5  e: 8
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 6  e: 5
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 1  e: 2
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 5  e: 8
i: 0  j: 1  e: 8
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 2  e: 9
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 6  e: 5
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 1  e: 9
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 5  e: 8
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 4  e: 2
i: 0  j: 3  e: 6
i: 0  j: 4  e: 2
i: 0  j: 5  e: 7
i: 0  j: 6  e: 5
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 1  e: 2
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 8
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 4  e: 8
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 1  e: 9
i: 0  j: 2  e: 2
i: 0  j: 3  e: 5
i: 0  j: 4  e: 8
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 4  e: 8
i: 0  j: 5  e: 7
i: 0  j: 2  e: 5
i: 0  j: 3  e: 2
i: 0  j: 4  e: 8
i: 0  j: 5  e: 7
i: 0  j: 3  e: 6
i: 0  j: 4  e: 8
i: 0  j: 5  e: 7
i: 0  j: 2  e: 6
i: 0  j: 3  e: 2
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 4  e: 8
i: 0  j: 5  e: 7
i: 0  j: 6  e: 5
i: 0  j: 3  e: 5
i: 0  j: 4  e: 8
i: 0  j: 2  e: 8
i: 0  j: 3  e: 2
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 1  e: 2
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 8
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 8
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 4  e: 8
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 1  e: 9
i: 0  j: 2  e: 2
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 8
i: 0  j: 2  e: 2
i: 0  j: 3  e: 5
i: 0  j: 4  e: 8
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 4  e: 8
i: 0  j: 5  e: 7
i: 0  j: 2  e: 5
i: 0  j: 3  e: 2
i: 0  j: 4  e: 8
i: 0  j: 5  e: 7
i: 0  j: 3  e: 6
i: 0  j: 4  e: 8
i: 0  j: 5  e: 7
i: 0  j: 2  e: 6
i: 0  j: 3  e: 2
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 4  e: 8
i: 0  j: 5  e: 7
i: 0  j: 6  e: 5
i: 0  j: 3  e: 5
i: 0  j: 4  e: 8
i: 0  j: 2  e: 8
i: 0  j: 3  e: 2
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 1  e: 8
i: 0  j: 2  e: 2
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 5
i: 0  j: 3  e: 2
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 1  e: 9
i: 0  j: 2  e: 2
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 5
i: 0  j: 3  e: 2
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 8
i: 0  j: 2  e: 2
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 2
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 5
i: 0  j: 3  e: 2
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 1  e: 9
i: 0  j: 2  e: 2
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 8
i: 0  j: 2  e: 2
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 2  e: 5
i: 0  j: 3  e: 2
i: 0  j: 3  e: 6
i: 0  j: 2  e: 6
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 2  e: 8
i: 0  j: 3  e: 2
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 1  e: 2
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 8
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 6  e: 7
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 4  e: 8
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 6  e: 7
i: 0  j: 1  e: 9
i: 0  j: 2  e: 2
i: 0  j: 3  e: 5
i: 0  j: 4  e: 8
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 4  e: 8
i: 0  j: 5  e: 7
i: 0  j: 2  e: 5
i: 0  j: 3  e: 2
i: 0  j: 4  e: 8
i: 0  j: 5  e: 7
i: 0  j: 3  e: 6
i: 0  j: 4  e: 8
i: 0  j: 5  e: 7
i: 0  j: 2  e: 6
i: 0  j: 3  e: 2
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 4  e: 8
i: 0  j: 5  e: 7
i: 0  j: 6  e: 5
i: 0  j: 3  e: 5
i: 0  j: 4  e: 8
i: 0  j: 2  e: 8
i: 0  j: 3  e: 2
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 1  e: 2
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 8
i: 0  j: 2  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 8
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 6  e: 7
i: 0  j: 2  e: 6
i: 0  j: 3  e: 5
i: 0  j: 4  e: 8
i: 0  j: 2  e: 8
i: 0  j: 3  e: 5
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 5  e: 9
i: 0  j: 6  e: 7
i: 0  j: 1  e: 9
i: 0  j: 2  e: 2
i: 0  j: 2  e: 5
i: 0  j: 2  e: 6
i: 0  j: 2  e: 8
i: 0  j: 2  e: 2
i: 0  j: 3  e: 5
i: 0  j: 4  e: 8
i: 0  j: 3  e: 6
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 4  e: 8
i: 0  j: 5  e: 7
i: 0  j: 2  e: 5
i: 0  j: 3  e: 2
i: 0  j: 4  e: 8
i: 0  j: 5  e: 7
i: 0  j: 3  e: 6
i: 0  j: 4  e: 8
i: 0  j: 5  e: 7
i: 0  j: 2  e: 6
i: 0  j: 3  e: 2
i: 0  j: 4  e: 5
i: 0  j: 5  e: 7
i: 0  j: 4  e: 8
